ID;Art;From;To;Length;Source;Target;ToblerSum;Weight
538813;land;NULL;NULL;802;7090;16824;47.81341679;209.1463165
538815;land;NULL;NULL;9798;2835;12573;591.2912112;16.91214043
538817;land;NULL;NULL;21542;6773;13002;1293.758622;7.729417085
538819;land;NULL;NULL;21598;12832;6773;1303.553917;7.671335931
538821;land;NULL;NULL;1701;12832;4410;100.9846192;99.024981
538823;land;NULL;NULL;11184;13002;7913;675.6899256;14.79968788
538825;land;NULL;NULL;23383;7913;16825;1412.693366;7.078676972
538827;land;NULL;NULL;14084;16824;2835;849.5086875;11.77150999
538829;land;NULL;NULL;941;16825;7090;56.70379984;176.3550243
538831;land;NULL;NULL;585;16825;16824;34.85660167;286.8897001
538833;land;NULL;NULL;12821;3297;5159;768.9771879;13.00428694
538835;land;NULL;NULL;1251;16826;2463;73.57169374;135.9218402
538837;land;NULL;NULL;1532;16826;12720;90.69618604;110.2582196
538839;land;NULL;NULL;8079;5159;1470;483.4948665;20.68274286
538841;land;NULL;NULL;8743;12720;3297;524.3557347;19.07102247
538843;land;NULL;NULL;1229;2463;12720;73.69980749;135.6855647
538845;land;NULL;NULL;18262;7002;16826;1095.134095;9.131301858
538847;land;NULL;NULL;16101;7002;1992;968.2663875;10.32773638
538849;land;NULL;NULL;18364;1992;10202;1099.98423;9.091039424
538851;land;NULL;NULL;12422;6978;10202;759.2730608;13.1704923
538853;land;NULL;NULL;14927;5268;6978;888.9168446;11.2496462
538855;land;NULL;NULL;15557;2844;5268;946.2417181;10.5681242
538857;land;NULL;NULL;16236;2844;187;977.9592575;10.22537485
538859;land;NULL;NULL;10034;2436;12832;598.4902162;16.7087109
538861;land;NULL;NULL;9255;187;1630;557.7313628;17.92977886
538863;land;NULL;NULL;14616;1630;2436;879.3515331;11.37201634
538865;land;NULL;NULL;25872;2436;5514;1556.36317;6.42523557
538867;land;NULL;NULL;25640;6636;16827;1539.84739;6.494150045
538869;land;NULL;NULL;2848;16827;16828;174.4528878;57.3220663
538871;land;NULL;NULL;258;16828;5514;15.65448013;638.7947678
538873;land;NULL;NULL;10480;16828;3498;636.9622805;15.69951676
538875;land;NULL;NULL;8660;3498;2499;522.3427252;19.14451856
538877;land;NULL;NULL;12834;6920;2499;778.3191944;12.84819914
538879;land;NULL;NULL;17016;6920;16827;1022.72813;9.777769582
538881;land;NULL;NULL;8293;2499;16829;511.7461848;19.54093709
538883;land;NULL;NULL;858;2682;16829;52.66479529;189.8801646
538885;land;NULL;NULL;14928;16829;240;912.3215625;10.96104752
538887;land;NULL;NULL;14574;6978;13005;894.4766137;11.17972214
538889;land;NULL;NULL;1257;13005;1597;74.78072541;133.7242979
538891;land;NULL;NULL;10216;13005;240;621.7964902;16.08243237
538893;land;NULL;NULL;13191;4832;5428;796.3314367;12.55758537
538895;land;NULL;NULL;7489;11935;4832;450.7826435;22.18364026
538897;land;NULL;NULL;12127;6024;12559;733.4255677;13.63464875
538899;ferry;NULL;NULL;1205;9370;16504;72.96948286;411.1307745
538901;land;NULL;NULL;4753;5428;6024;286.1547798;34.94612254
538903;land;NULL;NULL;184;16504;11935;11.14872888;896.9632418
538905;land;NULL;NULL;140;11935;4871;8.380661212;1193.223273
538907;land;NULL;NULL;1749;12559;2908;105.265999;94.99743601
538909;land;NULL;NULL;16222;12559;6636;978.7318606;10.21730303
538911;land;NULL;NULL;14769;2908;5826;888.0417754;11.26073151
538913;land;NULL;NULL;42437;5826;4410;2556.634253;3.911392483
538915;land;NULL;NULL;39479;16852;3349;2364.819486;4.228652571
538917;land;1611;NULL;30612;16852;16851;1825.756819;5.477180693
538919;land;1611;NULL;1793;16851;16854;108.6547189;92.03465902
538921;land;NULL;NULL;124936;16853;8009;7544.484034;1.32547169
538923;land;NULL;NULL;19755;16854;16853;1199.347041;8.337870241
538925;land;NULL;NULL;38819;16854;16855;2337.668865;4.277765834
538927;land;NULL;NULL;231;13717;9330;13.99346158;714.6194631
538929;ferry;NULL;NULL;462;13717;11901;27.53070599;1089.692361
538931;ferry;NULL;NULL;690;16855;13717;41.15975647;728.8672862
538933;water;NULL;NULL;109188;9332;13717;6517.424317;4.603045397
538935;water;NULL;NULL;61323;13717;16851;3693.402461;8.122591653
538937;water;NULL;NULL;32500;16857;5883;1954.442399;15.34964654
538939;water;NULL;NULL;621;16856;16857;38.71188688;774.9557672
538941;land;NULL;NULL;57852;5684;16856;3484.372611;2.869957125
538943;water;NULL;NULL;22683;16650;11873;1368.868865;21.915905
538945;land;NULL;NULL;20019;6163;6023;1221.137671;8.189084848
538947;land;NULL;NULL;14623;6716;6023;889.4337319;11.24310856
538949;land;NULL;NULL;7009;6163;1185;422.1626789;23.68755103
538951;land;NULL;NULL;23119;5882;1184;1393.928535;7.17396893
538953;land;NULL;NULL;21878;5882;6716;1317.830367;7.588230054
538955;land;NULL;NULL;7193;1185;12126;433.6605084;23.0595127
538957;land;NULL;NULL;378;3326;16592;24.07287759;415.405261
538959;land;NULL;NULL;439;11661;5762;26.87825809;372.0479195
538961;water;NULL;NULL;14296;17009;11884;856.1429394;35.04087766
538963;land;NULL;NULL;24738;17009;17010;1491.680728;6.70384742
538965;land;NULL;NULL;959;17010;11422;59.92690711;166.8699501
539145;water;NULL;NULL;22718;16544;16411;1369.24346;21.90990929
539147;land;NULL;NULL;2857;16478;2497;170.0730269;58.79827144
539149;land;NULL;NULL;1344;7777;16478;78.52103345;127.3544114
539151;land;NULL;NULL;1844;9728;16478;116.6179265;85.75010979
539153;land;NULL;NULL;7242;2497;1384;438.2576197;22.81762952
539155;land;NULL;NULL;5717;2245;11749;338.7620568;29.51924455
539157;land;NULL;NULL;299;16472;11749;18.34342398;545.1544931
539159;land;NULL;NULL;5738;982;2582;347.7656731;28.75499445
539161;land;NULL;NULL;4290;2582;2245;254.5147655;39.2904513
539163;land;NULL;NULL;7584;7514;6279;458.2187968;21.8236355
539165;ferry;NULL;NULL;425;16482;16411;25.90790697;1157.94765
539167;land;NULL;NULL;2890;11749;393;174.2722584;57.38147937
539169;land;NULL;NULL;6838;393;7514;419.4772631;23.83919435
539171;land;NULL;NULL;190;16480;1333;11.54691552;866.0321439
539173;land;NULL;NULL;499;16480;16479;29.37613586;340.412369
539175;water;NULL;NULL;48125;16411;16481;2899.46949;10.34672036
539177;water;NULL;NULL;1683;16479;16481;102.2321021;293.4498987
539179;land;NULL;NULL;29147;16476;16388;1759.381246;5.68381641
539181;land;NULL;NULL;649;2789;16477;40.37699;247.6658116
539183;land;NULL;NULL;11038;5983;11770;664.8399861;15.04121324
539185;land;NULL;NULL;3052;16476;16354;184.2879033;54.26292135
539187;land;NULL;NULL;5248;6887;6406;317.6523651;31.4809556
539189;land;NULL;NULL;7999;6406;16679;482.7602071;20.71421764
539191;land;NULL;NULL;8560;4570;16477;508.6367406;19.66039651
539193;land;NULL;NULL;10519;694;4570;636.1170086;15.72037827
539195;land;NULL;NULL;6603;3421;6448;390.4325608;25.61261791
539197;land;NULL;NULL;9389;3930;3421;565.8951946;17.67111666
539199;land;NULL;NULL;6580;11369;694;396.3364503;25.23108836
539201;land;NULL;NULL;3860;11369;6887;233.5818123;42.81155242
539203;land;NULL;NULL;616;10032;7407;36.99116746;270.3348038
539205;land;NULL;NULL;7274;16471;9728;448.997072;22.27186016
539207;land;NULL;NULL;13631;7407;1384;835.2949279;11.97181937
